ID,Salary,Company,Days ago,Description1,Description2,Description3,Location,Position,Remote,Salary_shown,City
174,60K,16 Bit Inc.,28,Experience applying machine learning to health data.,"Create, extend, and maintain large databases of health data.",Fluent in the Python programming language.,"Toronto, ON - Remote",Data Scientist,,"$60,000 - $75,000 a year",Toronto
180,60K,Mueller Water Products 3.0 ,11,3-4 years experience working in a data scientist or similarly inclined role.,Collaborate with R&D team to answer research questions using data and develop new,,"Toronto, ON",Data Scientist,,,Toronto
181,60K,Flow Water,16,"Mine consumer behavior data across various ECOMM, Direct to Consumer, and Social platforms, create weekly/monthly reporting.",Bachelors degree is required.,,"Toronto, ON","Data Scientist, eComm",,,Toronto
188,60K,Vanguard 3.8 ,30,"Identifies and diagnoses data inconsistencies and errors, documents data assumptions, and forages to fill data gaps.",,,"Toronto, ON",Data Scientist II,,,Toronto
195,60K,Munich Re 4.0 ,12,Work with existing data science and business groups at Munich Re.,Help research new ways of modeling data to unlock actionable insights or improve processes;,,"Toronto, ON",LIFE Data Science Co-op (2021 Summer  Toronto),,,Toronto
215,60K,Crescendo Technology 4.8 ,9,Proven working experience in a data science related field.,We are looking for a Business Intelligence Analyst that will be responsible for understanding,,"Toronto, ON",POST 5071: BUSINESS INTELLIGENCE ANALYST,,,Toronto
241,60K,Zynga 3.8 ,30,2+ years of work experience in data science or analytics roles.,"Drive and empower game studio to make quantitatively informed, evidence based decisions through",,"Toronto, ON",Data Analyst II,,,Toronto
255,60K,Tucows 2.3 ,30,"Youll then build and work with data pipelines (or work with Data Engineers), acquiring data from source systems and moving it through our data hierarchy, from",,,"Toronto, ON - Remote",Data Analyst - Remote,,,Toronto
256,60K,Scotiabank 3.9 ,30,"Data Engineer: You will be Integral to maintaining operational stability, and formulating techniques for quality data collection to ensure adequacy, accuracy,",,,"Toronto, ON",Learn more about our Digital Analytics team!,,,Toronto
273,60K,Prophix Software Inc.,30,"Youll work to define the grammars, tools and technics used to bring natural language to our products.","Working with Architects, Product Managers, and Software",,"Mississauga, ON",Principal Engineer  Natural Language Processing,,,Toronto
281,60K,Advanced Analytics and Research Lab (AAARL),30,"Has experiences in data visualization, such as Tableau or Qlik.","Attend analytics, data science, AI and industry conferences and workshops, developing your own",,"Toronto, ON",Analytics Consultant,,,Toronto
304,70K,Loblaw Digital 2.0 ,4,You enjoy the data-centric parts of solving problems.,"We aim to build production-ready solutions, and while we dont expect data scientists to be systems",,"Toronto, ON",Data Scientistnew,,,Toronto
316,70K,Xero,21,"Immerse yourself in Xeros data stores, wrangling vast quantities of messy and complex data to build a share-able understanding of the structure, content and",,,"Toronto, ON",Data Scientist,,,Toronto
320,70K,Monsters Aliens Robots Zombies,4,"Solve complex problems, in areas of computer vision.","Develop, maintain, document tools and systems to solve computer vision problems.",,"Toronto, ON",Computer Vision Machine Learning Engineernew,,,Toronto
334,70K,Cerebri AI,30,"Ph.D. in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline.",,,"Toronto, ON",Data Scientist,,,Toronto
337,70K,Crescendo 3.1 ,9,Proven working experience in a data science related field.,Data science related: 1 year (Preferred).,We are looking for a Business Intelligence Analyst that,"Toronto, ON - Temporarily remote",Post 5071: Business Intelligence Analyst,,"$50,000 - $95,000 a year",Toronto
350,70K,Myant 4.6 ,9,Experience in data cleaning and feature extraction.,"Experienced in running integration protocols, data collection and testing.",Experienced in C/C++ programming.,"Toronto, ON",Data Science Co-op,,,Toronto
365,70K,Pinterest,30,Our systems offer rich semantics to the recommendation platform and enable the product engineers to build deeper experiences to further engage Pinners.,,,"Toronto, ON","Machine Learning Engineer, Content Signals",,,Toronto
374,70K,Fathom Health,30,You will work with a variety of structured and unstructured data sources.,"Leading large-scale crowd-sourcing data labeling and acquisition (Amazon Turk,",,"Toronto, ON","Software Engineer, Machine Learning",,,Toronto
377,70K,Precision Nutrition 4.7 ,30,Collaborating with the data and analytics group.,A shrewd data hound with the ability to communicate clearly.,You must have a demonstrated track record of going,"Toronto, ON - Remote",Data Scientist,,,Toronto
379,70K,BrainStation 3.8 ,30,Actively work on writing and researching new content to teach the most up to date skills in data science to our students.,Experience building and leading teams.,,"Toronto, ON","Educator, Data Scientist",,,Toronto
380,70K,Primate Labs,30,"The Machine Learning Developer will work research, design, and develop machine learning benchmark tests to measure the performance of mobile neural network",,,"Toronto, ON",Machine Learning Software Developer,,,Toronto
392,70K,Wysdom.AI,30,Contribute to design and implementation of our NLP and Dialogue System.,Enhance and improve our ML models.,Research and POC for state-of-the-art technologies.,"Richmond Hill, ON",NLP/ML Developer,,,Toronto
402,70K,NVIDIA 4.2 ,11,"You will apply deep learning techniques to the simulation of virtual environments, developing methods to generate synthetic data for training neural networks to",,,"Toronto, ON","Deep Learning Engineering Intern, Content & Technology - Fal...",,,Toronto
405,70K,Scarsin,30,"Experience with data preprocessing, anomaly/outlier detection.","You will be interacting with multi-function teams, including data integration, model development",,"Markham, ON",Data Scientist/Time Series,,,Toronto
416,70K,BrainStation 3.8 ,30,Actively work on writing and researching new content to teach the most up to date skills in data science to our students.,Experience building and leading teams.,,"Toronto, ON","Associate Educator, Data Scientist",,,Toronto
431,70K,IQ Hunt,30,"3+ years in a data analytics, reporting, data science or business intelligence role with an ability to blend and analyze multiple data sets.",,,"Toronto, ON",Web Analytics Developer,,,Toronto
432,80K,Investing News Network,30,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.","Job Types: Full-time, Permanent.",,"Toronto, ON",Web Data Analyst,,,Toronto
440,80K,Clearbanc,10,Can clean data well and apply a suitable modelling approach.,"Improving our data-driven underwriting and risk strategy, or conducting experimental projects.",,"Toronto, ON",Senior Data Scientist,,,Toronto
441,80K,RBC 4.0 ,2,"Familiar with data extract, transform and load processes with a variety of data types.","Experience in statistical methods, strong data profiling, cleaning, and",,"Toronto, ON","Manager, Data and Analytics COEnew",,,Toronto
442,80K,LG Electronics 3.9 ,28,LG is looking to push the boundaries of AI to build innovative product and service solutions to realize LGs global vision for a connected world.,,,"Toronto, ON",Toronto AI Lab: NLP Applied Scientist,,,Toronto
444,80K,BMO Financial Group 3.8 ,4,Strong problem-solving aptitude and data driven decision making abilities.,Identifies valuable data sources  structured and unstructured - and automate,,"Toronto, ON",Senior Data Scientist Analystnew,,,Toronto
446,80K,TELUS 4.0 ,15,Identify and Document key data assets and critical data elements for operational data.,5 or more years of data analytics experience covering large data volumes,,"Toronto, ON",Data Scientist,,,Toronto
447,80K,Interac 3.4 ,9,"Conducting end-to-end analysis that includes data gathering and requirements specification, processing, analysis, and creation of data products.",,,"Toronto, ON","Data Scientist, Fraud Analytics",,,Toronto
448,80K,CGI 3.6 ,9,Your Machine Learning and Data Science expertise will be challenged as you develop programs to hunt for patterns within large data pools and build new data sets,,,"Toronto, ON",Machine Learning Data Scientist,,,Toronto
451,80K,Loblaw Digital 2.0 ,4,You enjoy the data-centric parts of solving problems.,"We aim to build production-ready solutions, and while we dont expect data scientists to be systems",,"Toronto, ON",Senior Data Scientistnew,,,Toronto
452,80K,TKEES Inc,9,Data analytics : 4 years (Preferred).,"We are interested in furthering our data collection and analysis practices, so you will be responsible for instituting new",,"Toronto, ON - Temporarily remote",Sr. Data Analyst,,"$77,897 - $95,207 a year",Toronto
455,80K,Inkbox,26,Contribute to improving data culture.,Manage and develop our data analytics pipeline.,Develop and improve data processes and best practices.,"Toronto, ON",Senior Data Analyst,,,Toronto
461,80K,Yelp,11,"Strongly desired: understanding of economic data and trends, and ability to examine relationships between our data and macro national/local trends.",,,"Toronto, ON - Remote",Data Analyst (Remote),,,Toronto
462,80K,Yelp,22,3+ years of experience as a data scientist or MS/PhD and 2+ years of industry experience in a quantitative role.,,,"Toronto, ON - Remote",Data Scientist (Remote),,,Toronto
464,80K,Loblaw Digital 2.0 ,0,The data science platform team at Loblaw Digital combines traditional big-data engineering with best-of-breed online ML serving technology.,,,"Toronto, ON","Team Lead, Machine Learning Software Engineeringnew",,,Toronto
471,80K,Brookfield Asset Management 3.6 ,21,Analyze large data sets with multiple data sources and output requirements.,Develop and execute data analytic projects.,,"Toronto, ON",Data Analyst,,,Toronto
472,80K,Ezra,9,You have the development skills to build data pipelines & develop your AIs.,You will contribute to research projects that create seamless experiences for both,,"Toronto, ON",Machine Learning Engineer,,,Toronto
473,80K,RBC 4.0 ,19,"Familiarity with data cleaning, data mining, and machine learning.","As a Data Scientist you will collaborate, innovate, ideate and build in a flexible, start-up",,"Toronto, ON","Data Scientist, RBC Amplify - 2021",,,Toronto
475,80K,Toronto School of Management,25,"Experience in (included but are not limited to) data integration, data management, data warehousing and reporting, big data analytics.",,,"Toronto, ON",Professor - Data Analytics,,,Toronto
476,80K,Cineplex 3.7 ,3,"Working closely with several members of the team with roles such as reporting developers, data engineers, and product managers, the primary role of the QA Lead",,,"Toronto, ON","QA Lead, Data Science & Analytics (6 Month Contract)new",,,Toronto
482,80K,Citi 3.9 ,30,Mines and analyzes data from various banking platforms to drive optimization and improve data quality.,"Conducts strategic data analysis, identifies insights and",,"Mississauga, ON",Data Analytics Senior Analyst (AVP),,,Toronto
487,80K,"LotusFlare, Inc.",30,Candidate must be able to effectively synthesize disparate quantitative and qualitative data sets to make data-driven decisions.,,,"Toronto, ON",Data Scientist / Engineer,,,Toronto
489,80K,Bayer 4.2 ,2,Understanding of data modeling and different data structures.,"Identify mechanism to capture new data (e.g., CRM, sensors), clear organizational hurdles to gain",,"Mississauga, ON",Analytics Translatornew,,,Toronto
490,80K,Resolver Inc.,18,"Implement data pipelines using libraries such as Tensorflow, to optimize GPUs.","Using your knowledge of tools and deployment, youll help Resolver revolutionize",,"Toronto, ON - Temporarily remote","Build and Tooling Engineer, Machine Learning",,,Toronto
491,80K,"TuSimple, Inc.",30,We will provide relocation assistance.,Algo__general_c___research_development_engineering_1c591e8e2us@ivy.greenhouse.io.,,"Toronto, ON",Senior C++ Engineer in Machine Learning | Autonomous Driving...,,,Toronto
493,80K,Restaurant Brands International Campus Opportuniti... 3.2 ,10,Collaborate with internal stakeholders to understand the business strategy and work towards supporting that by gathering the right data and building machine,,,"Toronto, ON","Technical Development Program (TLP), Machine Learning - Augu...",,,Toronto
495,80K,LifeLabs 3.4 ,3,"Requirements: University degree in Computer Science, Business Administration, Management Information Systems or equivalent education A minimum 3 years",,,"Toronto, ON",Senior IT Business Data Analystnew,,,Toronto
497,80K,LG Electronics 3.9 ,30,LG is looking to push the boundaries of AI to build innovative product and service solutions to realize LGs global vision for a connected world.,,,"Toronto, ON",Toronto AI Lab: AI / Machine Learning Scientist,,,Toronto
503,80K,Visual Defence Inc 3.8 ,25,The Machine Learning Developer will work with Visual Defences Research and Development team under the guidance of the companys Director of Research and,,,"Richmond Hill, ON",Machine Learning Engineer,,,Toronto
504,80K,Resolver 4.2 ,18,"Implement data pipelines using libraries such as Tensorflow, to optimize GPUs.","Using your knowledge of tools and deployment, youll help Resolver revolutionize",,"Toronto, ON - Temporarily remote","Build and Tooling Engineer, Machine Learning",,,Toronto
506,80K,NorthOne,30,You love using SQL and Python to answer business questions and analyze data.,6 years at McKinsey working on digital customer experience in financial services.,,"Toronto, ON",Data Scientist,,,Toronto
510,80K,SNC-Lavalin 4.0 ,10,Techniques to extract the information hidden in large amounts of real-time operational data for system health monitoring.,,,"Mississauga, ON",Machine Learning Software Designer/Engineer,,,Toronto
511,80K,The Property Registry,30,"Acquiring more and better data, enhancing data quality and coverage.","As an expert in VAS data and data visualization, the incumbent will take a significant role",,"Toronto, ON",Senior Data Analyst,,,Toronto
512,80K,Namaste Technologies 2.2 ,30,"Experience with data transformation processes, using Python.",We have years of data collected on legal cannabis users and by combining machine learning,,"Toronto, ON",Senior Data Analyst,,,Toronto
516,80K,BMO Financial Group 3.8 ,30,Provides guidance on the interpretation of enterprise data governance policies and maintains alignment between data governance practices and the data strategy.,,,"Toronto, ON",Senior Finance Master Data Analyst,,,Toronto
521,80K,"TuSimple, Inc.",30,We will provide relocation assistance.,Algo__general_c___research_development_engineering_1c591e8e2us@ivy.greenhouse.io.,,"Toronto, ON",Lead C++ Engineer in Machine Learning | Autonomous Driving R...,,,Toronto
525,80K,Loblaw Digital 2.0 ,30,"As the Senior Manager, E-Commerce Merchandising Analytics & Process for our Online Grocery Team you will be accountable for building and providing analytics",,,"Toronto, ON","Senior Manager, E-Commerce Merchandising Analytics & Process",,,Toronto
532,80K,CaseWare 3.8 ,30,"Experience with data science libraries and tools such as Pandas, NumPy, Jupyter Notebooks.","Minimum 3 years creating distributed, data-intensive, and highly",,"Toronto, ON",Python Developer - Data Analytics,,,Toronto
534,80K,Xanadu Quantum Technologies Inc.,30,"Passionate about agile software processes, data-driven development, reliability, testing, and continuous delivery.",,,"Toronto, ON",Machine Learning/Data Engineer,,,Toronto
542,80K,CaseWare 3.8 ,30,"Minimum 3 years creating distributed, data-intensive, and highly scalable production-grade applications with Python or Java 7/8.",,,"Toronto, ON",Software Developer - Data Analytics,,,Toronto
550,90K,Fusion Analytics,30,Competitive top-tier data scientist level salary.,"3+ years of professional experience related to data science, modelling and analytics.",,"Toronto, ON",Sr. Data Scientist,,,Toronto
552,90K,Tonal,12,Provide expert input on architecture of Tonal's learning systems.,Architect and build our machine learning and computer vision solutions.,,"Toronto, ON","Senior Data Scientist, Machine Learning TORONTO, ONSOFTWARE",,,Toronto
554,90K,Myplanet 4.6 ,5,Ensure validity of data driven predictions.,Define approaches to augment available data through synthesis and/or 3rd party sources.,,"Toronto, ON",Senior Data Scientistnew,,,Toronto
558,90K,Xanadu Quantum Technologies Inc.,15,"You will conceive, undertake, and supervise projects which have an outsized impact, helping to establish the fundamentals of an emerging new field.",,,"Toronto, ON",Researcher - Quantum Machine Learning,,,Toronto
560,90K,Mueller Water Products 3.0 ,12,3-4 years experience working in a data scientist or similarly inclined role.,Collaborate with R&D team to answer research questions using data and develop new,,"Toronto, ON",Data Scientist,,,Toronto
561,90K,Koho,28,3+ years of experience working with data and engineering teams.,Coordinating and maintaining communication with business stakeholders on data science-related,,"Toronto, ON",Data Scientist,,,Toronto
562,90K,Rogers Communications 3.8 ,4,Work with data and analytics experts to strive for greater functionality in our data systems.,Participate in stakeholders meetings to assist with data-related,,"Brampton, ON",Technology New Grad Leadership Development Program - Data Sc...new,,,Toronto
564,90K,Vanguard 3.8 ,30,Mentors and develops junior data scientists and analysts.,"Identifies and diagnoses data inconsistencies and errors, documents data assumptions, and forages to",,"Toronto, ON",Principal Data Scientist,,,Toronto
566,90K,nugget.ai,29,"Acquire, Clean, and Transform data using R and Python.",Evaluate state-of-the-art statistical modelling and Machine Learning approaches using large amounts of,,"Toronto, ON",Machine Learning Engineer,,,Toronto
567,90K,Gore Mutual Insurance Company 4.0 ,9,Experience in machine learning and data science techniques.,Minimum 5 years actuarial experience within the Property and Casualty and/or Life Insurance,,"Toronto, ON",Actuarial Data Scientist,,,Toronto
572,90K,BGIS 3.2 ,24,"Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured",,,"Greater Toronto Area, ON",Senior Data Analyst,,,Toronto
573,90K,BELL RESIDENTIAL SERVICES 3.8 ,9,Can identify opportunities for machine learning in data and execute on complex analyses.,Is comfortable working in a constantly-evolving environment as we,,"Toronto, ON","Senior Developer, Machine Learning",,,Toronto
574,90K,Manulife 3.9 ,30,Works on problems of diverse scope / complexity where analysis of situations or data requires an in-depth evaluation of a variety of factor s and oversees the,,,"Toronto, ON",Senior Data Scientist-Marketing Analytics,,,Toronto
575,90K,Citi 3.9 ,4,Extract data from heterogeneous data sources with multiple databases and transform into a harmonized data store under stringent business deadlines.,,,"Mississauga, ON",Senior ETL/Data Analystnew,,,Toronto
577,90K,Finastra 3.4 ,30,Perform extensive data profiling across large data sets to assess current state data quality across large volumes of data attributes.,,,"Mississauga, ON",Data Governance Analyst (Data Modeler),,,Toronto
579,90K,Dean Group 3.1 ,18,Perform ETL with massive data from multiple applications and 300 M+ customers.,Knowledge in advanced data structures and can use them to solve problems.,,"Toronto, ON",Machine Learning Engineer,,,Toronto
581,90K,Kinaxis 4.0 ,30,"Liaise between Analytics, Engineering and Data Science teams to support continuous improvement for product analytics including data science models performance",,,"Toronto, ON",Senior Data Analyst,,,Toronto
583,90K,Full Swing,7,Experience applying data science and data engineering concepts.,"Full Swing is the only company that gives players patented dual-tracking technology, combining",,"Toronto, ON - Temporarily remote",Software Engineer  Computer Vision / Machine Learningnew,,,Toronto
590,90K,Tonal,12,Who We Are Tonal has built the worlds most intelligent fitness system that is changing the way people work out at home. Tonal is a fresh approach to fitness,,,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",,,Toronto
591,90K,Visual Defence Inc 3.8 ,25,"MACHINE LEARNING DEVELOPER  VISION SYSTEMS About Visual Defence Founded in 2000, Visual Defence Inc. (VDI) (https://www.visualdefence.com) provides",,,"Richmond Hill, ON",Machine Learning Engineer,,,Toronto
592,90K,Tonal,12,Who We Are Tonal has built the worlds most intelligent fitness system that is changing the way people work out at home. Tonal is a fresh approach to fitness,,,"Toronto, ON","Director, Marketing Analytics TORONTO, ONREVENUE & GROWTH",,,Toronto
593,90K,Ceridian 3.6 ,1,"Ceridian. Makes Work Life Better This is our promise. Not only for our customers, but our employees as well. Do you thrive in an innovative and exciting",,,"Mississauga, ON +2 locations - Temporarily remote","Development Manager, Reporting and Analyticsnew",,,Toronto
594,90K,SoundHound Inc.,30,"At SoundHound Inc., we believe every brand should have a voice. As the leading innovator of conversational technologies, we're trusted by top brands around",,,"Toronto, ON",Senior Machine Learning Scientist - Natural Language Process...,,,Toronto
595,90K,Citi 3.9 ,30,This role is for an Application Developer on the Citi Velocity Data Science team. This team is responsible for generating insights on consumption data from,,,"Mississauga, ON",Data Science Engineer - VP,,,Toronto
596,90K,The Property Registry,30,Job Overview: The Senior Data Analyst is a critical role for the execution of Commercial Solutions data strategy governing a broad portfolio of products,,,"Toronto, ON",Senior Data Analyst,,,Toronto
597,90K,NorthOne,30,We make small businesses more successful through better banking. Our company is looking for a Data Scientist to join our growing team as we enter a new phase,,,"Toronto, ON",Data Scientist,,,Toronto
598,90K,Namaste Technologies 2.2 ,30,WHO WE ARE Namaste Technologies began as an international cannabis eCommerce company operating in 20 countries. We have years of data collected on legal,,,"Toronto, ON",Senior Data Analyst,,,Toronto
599,90K,"Advanced Micro Devices, Inc. 3.8 ",23,"What you do at AMD changes everything At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving",,,"Markham, ON",Senior Machine Learning Developer - 79976,,,Toronto
600,90K,Spin Master Ltd 3.2 ,30,3+ years direct management experience of analysts and data scientists.,Build and maintain a data pipeline that can support complex data projects at scale.,,"Toronto, ON","Senior Manager, Data Science",,,Toronto
601,90K,Nielsen 3.8 ,30,"4+ years relevant work experience including superior analytical/modeling skills, experience with database concepts and analyzing customer level and/or item",,,"Toronto, ON","Manager, Data Science",,,Toronto
602,90K,ThinkData Works,30,The incumbent will work closely with data scientists and engineers to build platform solutions.,The Data Labs builds machine learning tools for practical,,"Toronto, ON",NLP Software Engineer,,,Toronto
603,90K,Manulife 3.9 ,30,Oversees the work of more junior data scientists.,Provides guidance and mentorship to more junior data scientists.,Owns and delivers projects of diverse scope.,"Toronto, ON",Senior Data Scientist,,,Toronto
606,90K,ASSURANCE,30,"Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.","Our team uses a variety of data mining and analysis methods,",,"Toronto, ON",Data Scientist,,,Toronto
614,90K,Augmenta,30,Interactive 3D graphics and data visualization.,"Research, design and implement robust, scalable mathematical models for behavioral modeling, simulation and",,"Toronto, ON",Senior Machine Learning Engineer,,,Toronto
616,90K,Prophix Software Inc.,30,"Working with a team of data scientists, product managers, and software engineers to develop and support the software for new Machine Learning products.",,,"Mississauga, ON",Senior Machine Learning Engineer,,,Toronto
617,90K,Bell Technical Solutions 3.1 ,30,"Support the Excellence Center reporting team in development of business logic, data management, data extraction and programming of required reporting source;",,,"Mississauga, ON","Sr. Developer, Business Intelligence",,,Toronto
619,90K,GALE Partners 3.6 ,30,"Ingesting, distributing and manipulating large data sets to understand the structure of client data and ready it for modelling.",,,"Toronto, ON",Senior Data Scientist,,,Toronto
622,90K,ENERCARE 3.8 ,30,"Create and maintain interactive data visualization through data interpretation and analyses, integrating various reporting components from multiple data sources",,,"Markham, ON","Analytics Developer, Data Strategy & Operations",,,Toronto
626,90K,ENERCARE 3.8 ,30,"Create and maintain interactive data visualization through data interpretation and analyses, integrating various reporting components from multiple data sources",,,"Markham, ON",Analytics Developer - Data Strategy and Operations,,,Toronto
628,100K,Robert Half 3.9 ,30,Ensure all processes preserve data integrity by managing the alignment of data availability and integration processes.,,,"Toronto, ON",Data Scientist,,"$95,000 - $105,000 a year",Toronto
629,100K,Staffinity Inc. 4.5 ,30,Evaluating state-of-the-art statistical modeling and Machine Learning approaches using historical data.,We offer competitive salaries and great bonuses and,,"Toronto, ON",Data Scientist/Machine Learning Engineer,,"$80,000 - $120,000 a year",Toronto
630,100K,Coursera 4.3 ,3,Strong applied statistics and data visualization skills.,Experience working with Salesforce and/or Marketo data.,Check out life at Coursera on The Muse!,"Toronto, ON - Remote","Senior Data Scientist, Enterprisenew",,,Toronto
631,100K,Beauty Matching Engine,30,This is a 3-6 month full-time data scientist contract position with potential to become permanent position based on the performance.,,,"Toronto, ON - Remote",Data Scientist,,"$64,136 - $140,055 a year",Toronto
632,100K,Accenture 4.0 ,1,"A blend of data science capability, industry and consulting expertise.",And you are all about helping clients scale data into value.,,"Toronto, ON",Senior Data Scientistnew,,,Toronto
634,100K,Overbond 3.3 ,7,Lead data science initiatives to recommend actionable business insights using big data analytics and machine learning techniques.,,,"Toronto, ON",Data Scientistnew,,,Toronto
635,100K,Rogers Communications 3.8 ,4,Lead the development of data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative,,,"Brampton, ON",Technology Masters Graduate Program - Data Science & Analyti...new,,,Toronto
636,100K,Restaurant Brands International 3.2 ,3,"Experience with manipulating big data sets via SQL able to process, filter and present large quantities of data.",Experience with Loyalty Programs an asset.,,"Toronto, ON","Manager, Machine Learning, THnew",,,Toronto
639,100K,Crescendo 3.1 ,8,"We are looking for someone with strong background in statistics, modelling and algorithms (machine learning or other) and who has the ability to convey complex",,,"Toronto, ON - Temporarily remote",Post 1039: Machine Learning Engineer,,,Toronto
640,100K,Citi 3.9 ,23,Manages a team of data scientists and data engineers.,6-10 years experience with defining and implementing data science programs.,,"Mississauga, ON",Data Science Senior Manager,,,Toronto
641,100K,Bell Canada 3.8 ,11,Big data is a big deal.,"Experience with the design, development and maintenance of ETL processes, data marts, operational data stores and online analytical",,"Toronto, ON","ON - 2021 Customer Operations Graduate Leadership Program, B...",,,Toronto
645,100K,Kinaxis 4.0 ,30,Experience working with relational data via SQL.,Experience with big data technologies such as PySpark and Hadoop.,Ability to work in *nix environments.,"Toronto, ON",Senior Data Scientist,,,Toronto
647,100K,Magic Leap - Multiple Locations,9,"Scene Understanding and Semantics: Design and implement segmentation algorithms based on depth, motion or texture data.",,,"Toronto, ON",Principal Deep Learning Researcher/Engineer,,,Toronto
649,100K,Crescendo Technology 4.8 ,30,"We are looking for someone with strong background in statistics, modelling and algorithms (machine learning or other) and who has the ability to convey complex",,,"Toronto, ON",Machine Learning Engineer/Data Scientist,,,Toronto
650,100K,Cerebri AI,29,6+ year experience working with and creating data architectures.,"S/he must have strong experience using various data mining/data analysis methods, using a",,"Toronto, ON",Senior Data Scientist/Manager,,,Toronto
651,100K,SoundHound Inc.,30,"Research state-of-the-art methods in Language Modeling and related Natural Language Processing problems: Text Segmentation, Language Classification etc.",,,"Toronto, ON",Senior Machine Learning Scientist - Natural Language Process...,,,Toronto
652,100K,Prodigy Labs 3.0 ,15,This includes participation within the broader data science community including Kaggle competitions or any personal projects with open data.,,,"Toronto, ON",Data Scientist,,,Toronto
653,100K,Alexsei,30,Use advanced computational techniques to analyze vast pools of data under the limited guidance of the lead/principal data scientist.,,,"Toronto, ON",NLP Scientist,,,Toronto
654,100K,Tonal,12,5+ years data science experience.,Improve real-time rep and set detection from time-series data.,Provide expert input on architecture of Tonal's data collection,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",,,Toronto
662,100K,Cerebri AI,30,Collaborate with data scientists to develop automated orchestration of model pipelines to solve Cerebri AI business use case objectives.,,,"Toronto, ON",AI Engineer,,,Toronto
